"kingdom"	"phylum"	"class"	"subclass"	"order"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Equisetidae"	"Equisetales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Gnetidae"	"Ephedrales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Lycopodiidae"	"Isoetales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Lycopodiidae"	"Lycopodiales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Lycopodiidae"	"Selaginellales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Apiales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Aquifoliales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Asterales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Boraginales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Cornales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Dipsacales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Ericales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Escalloniales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Gentianales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Lamiales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Solanales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Caryophyllales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Buxales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Proteales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Ranunculales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Alismatales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Arecales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Asparagales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Commelinales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Dioscoreales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Liliales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Poales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Zingiberales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Gunnerales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Brassicales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Celastrales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Cucurbitales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Fabales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Fagales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Geraniales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Malpighiales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Malvales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Myrtales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Oxalidales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Rosales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Sapindales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Vitales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Zygophyllales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Santalales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Saxifragales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Ceratophyllales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Laurales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Piperales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Magnoliidae"	"Nymphaeales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Ophioglossidae"	"Ophioglossales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Pinidae"	"Cupressales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Pinidae"	"Pinales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Polypodiidae"	"Cyatheales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Polypodiidae"	"Hymenophyllales "
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Polypodiidae"	"Osmundales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Polypodiidae"	"Polypodiales"
"Chlorobionta"	"Streptophyta"	"Embryopsidae"	"Polypodiidae"	"Salviniales"
